dept_co,dept_nombre,muni_co,muni_nombre,mesas_total,mesas_escrutadas,pct_mesas_escrutadas,total_votantes,pct_participacion,total_abstencion,votos_nulos,votos_no_marcados,votos_blancos,votos_validos,codcan,codpar,candidato_presidente,candidato_vicepresidente,votos_candidato,pct_votos_candidato
05,BOLIVAR,05004,ACHI,63,63,100.0,7992,42.39,10858,26,47,75,7919,12,3,SERGIO FAJARDO VALDERRAMA,EDNA CRISTINA DEL SOCORRO BONILLA SEBA,37,0.46
05,BOLIVAR,05004,ACHI,63,63,100.0,7992,42.39,10858,26,47,75,7919,2,11,CLAUDIA LÓPEZ,LEONARDO HUMBERTO HUERTA GUTIÉRREZ,33,0.41
05,BOLIVAR,05004,ACHI,63,63,100.0,7992,42.39,10858,26,47,75,7919,6,4,MIGUEL URIBE LONDOÑO,LUISA FERNANDA VILLEGAS ARAQUE,20,0.25
05,BOLIVAR,05004,ACHI,63,63,100.0,7992,42.39,10858,26,47,75,7919,7,9,SONDRA MACOLLINS GARVIN PINTO,LEONARDO KARAM HELO,19,0.23
05,BOLIVAR,05004,ACHI,63,63,100.0,7992,42.39,10858,26,47,75,7919,8,6,ROY LEONARDO BARRERAS MONTEALEGRE,MARTHA LUCÍA ZAMORA ÁVILA,10,0.12
05,BOLIVAR,05004,ACHI,63,63,100.0,7992,42.39,10858,26,47,75,7919,5,14,ÓSCAR MAURICIO LIZCANO ARANGO,PEDRO LUIS DE LA TORRE MARQUEZ,9,0.11
05,BOLIVAR,05004,ACHI,63,63,100.0,7992,42.39,10858,26,47,75,7919,9,13,CARLOS EDUARDO CAICEDO OMAR,NELSON JAVIER ALARCÓN SUÁREZ,3,0.03
05,BOLIVAR,05004,ACHI,63,63,100.0,7992,42.39,10858,26,47,75,7919,13,12,LUIS GILBERTO MURILLO URRUTIA,LUZ MARÍA ZAPATA ZAPATA,3,0.03
05,BOLIVAR,05004,ACHI,63,63,100.0,7992,42.39,10858,26,47,75,7919,10,5,GUSTAVO MATAMOROS CAMACHO,MILA MARÍA PAZ CAMPAZ,0,0.0
19,HUILA,19007,AGRADO,24,24,100.0,4795,58.87,3349,46,9,73,4740,4,10,ABELARDO DE LA ESPRIELLA,JOSÉ MANUEL RESTREPO ABONDANO,3022,63.75
