id_puesto,puesto,cod_comune,direccion,lon,lat,semaforo,rank_abelardo,votos_abelardo,total_validos,pct_abelardo,n_mesas,v_paloma_valencia,v_sergio_fajardo,v_miguel_uribe_londoño,v_gustavo_matamoros,v_roy_barrera,v_ivan_cepeda,v_santiago_botero,v_sondra_maconllis,v_abelardo_de_la_espriella,v_claudia_lopez,v_luis_gilberto_murillo,v_carlos_caicedo,v_oscar_mauricio_lizcano
p0778,LICEO SALAZAR Y HERRERA,12,CLL 42C No 86-17,-75.6058783517261,6.24871119552243,verde,1.0,6976.0,11145.0,62.59,40.0,899.0,1215.0,0.0,0.0,0.0,1966.0,0.0,0.0,6976.0,0.0,0.0,0.0,0.0
p0779,LICEO SAN RAFAEL,16,CL 30A 79 12,-75.5994336235967,6.23217305556297,verde,1.0,3313.0,5475.0,60.51,20.0,472.0,564.0,0.0,0.0,0.0,1069.0,0.0,0.0,3313.0,0.0,0.0,0.0,0.0
p0780,PAR. BIBLIOTECA JOSE HORACIO BETANCUR,80,CLL 50 E SUR 75 A - 94,-75.6544411347605,6.17730916600349,verde,1.0,1420.0,3064.0,46.34,12.0,190.0,317.0,0.0,0.0,0.0,1076.0,0.0,0.0,1420.0,0.0,0.0,0.0,0.0
p0781,PARQUE BIBLIOTECA FERNANDO BOTERO,60,CRA 131 No 62-15,-75.6370240039281,6.27796461870563,verde,1.0,3843.0,7024.0,54.71,37.0,590.0,589.0,0.0,0.0,0.0,1827.0,0.0,0.0,3843.0,0.0,0.0,0.0,0.0
p0782,"PARROQ SAN JOSEMARIA ESCRIVA DE
BALAGUER",70,CL 31 AA 107 50,-75.6266386495976,6.23421069653538,verde,1.0,250.0,452.0,55.31,2.0,51.0,19.0,0.0,0.0,0.0,116.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0
p0783,PLAZA MAYOR CTRO EXPOS. CONVEN,00,CL 41 # 55 - 35,-75.5760240034378,6.24095421535395,verde,1.0,8915.0,13552.0,65.78,56.0,1139.0,991.0,0.0,0.0,0.0,2319.0,0.0,0.0,8915.0,0.0,0.0,0.0,0.0
p0784,PLAZA MINORISTA JOSE MARIA VILLA,10,CL 55A 57 80,-75.5734699504216,6.25765815608858,verde,1.0,332.0,595.0,55.8,3.0,60.0,25.0,0.0,0.0,0.0,163.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0
p0785,POLITECNICO JAIME ISAZA CADAVID,14,CARRERA 48 No. 7 - 151,-75.5772480029686,6.21305642049499,verde,1.0,6849.0,10737.0,63.79,38.0,1237.0,1034.0,0.0,0.0,0.0,1541.0,0.0,0.0,6849.0,0.0,0.0,0.0,0.0
p0786,"RECLUSION DE MUJERES PEDREGAL
MEDELLIN",00,"KM 6 VIA AL MAR FINCA LA
TERES",-75.6280858137048,6.28356130143789,amarillo,2.0,14.0,43.0,32.56,1.0,3.0,3.0,0.0,0.0,0.0,22.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
p0787,SEC. COL. AGUSTIN NIETO CABALLERO,10,KR 40 # 59A-21,-75.5573188063355,6.25266707127413,verde,1.0,1291.0,2324.0,55.55,10.0,239.0,140.0,0.0,0.0,0.0,625.0,0.0,0.0,1291.0,0.0,0.0,0.0,0.0
p0788,SEC.CONCENTRACION EDUC.KENNEDY,06,CRA 76 A # 92-131,-75.5818946826081,6.29044082120332,verde,1.0,2433.0,4982.0,48.84,23.0,349.0,543.0,0.0,0.0,0.0,1557.0,0.0,0.0,2433.0,0.0,0.0,0.0,0.0
